comment_text,actual_label,risk_score,recommended_action,predicted_label_05
"00frodo 
I cant believe you gave me my own page!!! I feel sooooooo honored you dumbass [User:Scjessey|queer]] liberal! Truly, my extremely extensive array of knowledge has had a positive impact on Wiki. I hope that you will make my name more famous! ALALALLLAALLALALLLALALALAALALLALALAAALLALALLLLAAAAA!!! Sorry, I have to do that every five minutes. 00frodo lives on!!!!!!!",1,0.49857176642310613,Monitor,0
"What a lying BITCH!!! Look at this shyt 

http://www.breitbart.com/Big-Government/2012/06/01/Exclusive-Video-Shows-Elizabeth-Warren-Telling-Tall-Tale-of-Composite-Grandmother

http://www.breitbart.com/Big-Government/2012/06/01/Exclusive-Eloped-Elizabeth-Warren-Parents-Married-in-Religious-Ceremony

This is a twofer. IRREFUTABLE proof that she's a liar. AND...it comes from Breitbart which may PISS off the liberals that CONTROL wikipedia even MORE than the slowly dawning realization that THEIR candidate is melting down before their very eyes in the FLAMES of her own prevarications.

First Martha KOOKley....now PoccaDISHONEST?? Is Scott Brown BLESSED or what? bahaha 99.185.56.156",1,0.49829238478212967,Monitor,0
"Why am I even talking to this retard, who hasn't ever gotten out of his chair since he was born?",1,0.49718966452057145,Monitor,0
"You deleted the message I put here for you. Get lost. I will see you in the article itself. You cannot even do a single edit there. I will revert it immediatly. Stop your vandalism, or prepare to battle with me. This is the last warning for you fool.",1,0.49694022859394105,Monitor,0
"""

 And why is """"screw you, motherfucker"""" a personal attack? I'm not implying anything about 80.174.59.92, am I?
 76.210.66.152  """,1,0.49443449345143076,Monitor,0
"YO
WHY CANT I MESS UP UR SITE
NO SCHOOLS R ALLOWED TO USE IT CUZ OF FAGS LIKE U",1,0.49323891458451724,Monitor,0
"Hell yes. Absolutely.  

==Please remove the brick from your anus, as it is considered vandalism.",1,0.49251333524755775,Monitor,0
It is you who are the TROLL FReepsbane. You could not win your arguments by logic so you resorted to framing me as wikzilla. Well now I am and you shall suffer.,1,0.4924838256365048,Monitor,0
"""
After several edit conflicts - Liz, you are truly pathetic. Perhaps one day you might learn how to produce content although it is doubtful. You are simply a POV social network wannabe. I've told you to stay away from me and stop your pathetic blatant attacks. Grow up.  - Chat  Dennis, I'm sorry this is playing out on your talk page but I've had enough of these POV pushers ...""",1,0.4924364157056041,Monitor,0
"""
The Graceful Slick....
Is non other than an ungraceful dick!81.158.100.146  """,1,0.49129100876168863,Monitor,0
'weigh in' you idiot -  'Have you ever run into an Assad supporter/sympathizer that admitted to one single Assad gov crime?'- ekograf and funkmonk - the 'neutral' writers - lol92.3.10.13,1,0.49124374316405456,Monitor,0
You can't ban me aha!,1,0.49077669462091167,Monitor,0
"but ew 

He was a fαg which is against nature and is the most disgusting thing. Youre not a woman are you? Sexism is wrong. Being wrong is for women.",1,0.4899977850085255,Monitor,0
"""

Rhett Butler

""""Frankly my dear, I don't give a damn."""".

I have no respect for 98% of all Wikipedians I have enountered.

beckjord """,1,0.4887468677424423,Monitor,0
"That's libel right there. Murder is defined as 'unlawful killing of another with malice aforethought ' you stupid wop. Attack pilots have to be trained to be aggressive because if they always fly exactly according to book, they will die on the first day of battle. -",1,0.48866528561933276,Monitor,0
to be driven away and die,1,0.48854946816762984,Monitor,0
"Capitalization

The rules of capitalization are not an opinion dick head.",1,0.48814548582154393,Monitor,0
"so, Sarahs palin f*cking kids calling f*ggots to whose call that whore mom a failure, your toughts anons? 

Has anyone really been far even as decided to use even go want to do look more like?",1,0.48742708835349097,Monitor,0
"big>I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERSI HATE Nl33ERS
I HATE Nl33ERS
I HATE Nl33ERS",1,0.48727699571443345,Monitor,0
"""

What right do you have to block the Whites people including myself when you Ethnic European and Ethnic African descents are the MOST racist and belicuse creatures on my planet? """"Which planet you come from?"""" said chooyooo? was rude and impolite than anything I wrote. Who or what ethnicity is he trying to insult with his ridiculous user:talk?

You bizarre, stubborn and desperate act of Ethnic European iron-fist censorship (that's what it is) will only succeed to increase my determination and drive to break the back of Western Racism. Paraphrase the 'Negro' or Ethnic African Doctor King's in the 60s.

If you continue to block Whites as myself, you're only succeeding in demonstrating your Ethnic European desperate cunnings and or Western Despotism! 

Why do you show what kind Blond Yoke you are with your lowly Blond Perils and so-called white maggots?""",1,0.483900681091694,Monitor,0
"This bot is seriously driving us crazy
This image exists, I must kill it!",1,0.4834080919780194,Monitor,0
", 2 August 2012 (UTC)
Lol not gonna help anymore... Penis Brown did his (blow)job...  23:08",1,0.4827368811847137,Monitor,0
OK I found your text just now but I don't want to refer to stupid users anymore. He repeats to cheat rankings.,1,0.48259034795782785,Monitor,0
"Shut up kid, don't tell me it's 'vandalizing' by editing an article THAT HAS proof if you look close enough and stop circle jerking it up.",1,0.48257682682759034,Monitor,0
