comment_text,actual_label,risk_score,recommended_action,predicted_label_05
"wtf 

what is your problem with me are you a stalker",0,0.9646110207331131,Auto Remove,1
You callin' me a liar?!,0,0.962394372212483,Auto Remove,1
"""

wtf?  ~ () (TCE) """,0,0.9564133869824238,Auto Remove,1
"voidid or whatever his name is. 

hey voidid called me a nobody. so screw him.and he was rippin brock lesnar. i dont go on his gay steve blackman article and take the piss out of him do i?",0,0.9464458753084749,Auto Remove,1
"What did I do that was vandalism first of all and second off all the only thing you ever did was accuse me off something I never did. You think I'm stupid, You think I'm a idiot, and you hold a huge grudge against me. So to be honest don't even think of letting that block expire because you now what I would never want to contribute anything useful to this site ever!",0,0.9391624811697834,Auto Remove,1
"Hi  

Luke's Ass.

How you doin' ?",0,0.9288403805939669,Auto Remove,1
what is up with you editing all this less than jake crap?,0,0.9193911098730323,Auto Remove,1
"Hey, im ripped as hell man",0,0.905775002429043,Auto Remove,1
oh wow a block im so scared. <sarcasm. stop getting all butt hurt bro. your threats don't faze me. you're just wasting your time getting all shook up over nothing,0,0.893411363187307,Human Review,1
"You must think I'm a pestering loser, right? -ML4E",0,0.8852323457458552,Human Review,1
"Why do not the two of you, the mentally retarded Jennygirl and the omnipotent Richie Rich, go together to Harrods and dont forget to choose together, being an authentically healthy and sociable couple,  time and location, maybe a restaurant,and then enjoy very evidentliy your meal and in case you should discover that you cant pay anymore, then do not expect them to let one of you peel the potatoes in return. Maybe they wont even say Hello when you come back after they would be kicking off your dipshit spinning incapable ass from the central perk. What a pitty. You have all of my sympathy on your side. Enjoy yourselves and your longest sentence Johnny-come-lately programme director.",0,0.865755946780156,Human Review,1
I have provided you by some new info regarding falsetto which wankers like 4meter4 cannot acceept simply because they think they know everything. I do not get shit about wikipedia any more because you are unable to avoid wankers like 4meter4. Feel free to mention the shit around the world. Feel free to block me for ever!,0,0.8652216376930332,Human Review,1
"Block 

Why do you say someone is idiotic and ban them for personal attatcks when calling someone idiotic is a personal attack? Shouldnt you be banned? I suppose not because this is not a democracy on this site its run like Hitler ran Germany.",0,0.8581513581658949,Human Review,1
".
I am a loser and I need your help to get a life",0,0.8571013517011588,Human Review,1
"""::Well, he may claim that he sees it as evidence of """"anti-Semitism"""" on WP, but I don't think this is the case. I have never, ever heard anyone, no matter their ethnic or religious background, complain about the ancestors of Iranians and Indians being called """"Aryans."""" And why not? Because that is what they were called! LOL Man, it's just so stupid I can't believe we're even discussing this bullshit to death. Funny thing about the swastika - it's not exactly a holy symbol in Iran, but apparently it's considered a good luck charm. They sell them in a lot of jewelery stores. The first time I saw one, a long while back, I thought to myself, """"WTF is this Nazi shit doing here?!"""" I asked the guy (mentioning the Nazi connection) - he had no damn clue as to what the hell I was talking about!  

""",0,0.8559912179626007,Human Review,1
"""
So the loser group of editors who elected you in the first place is going to recall you.  You make me laugh.  How about you voluntarily resign and let us re-elect you?  Oh, you're too much of a coward to do that?  You'd rather attack me instead?  Demand an apology?  You make me laugh.  I pity your moral reasoning.   Talk• Contributions """,0,0.8521397382645033,Human Review,1
"Bayard, you are a winnerr!!!!!!!!!! yipeeeeeee!

You dare to defend the CCP, you punk?",0,0.8393240050753381,Human Review,1
